,MATCHDAY_NR,HOME,,,AWAY,
,14,SC Freiburg,,,VfL Wolfsburg,
,14,FC Augsburg,,,Bayer Leverkusen,
,14,1. FSV Mainz 05,,,FC Bayern München,
,14,Borussia Mönchengladbach,,,Holstein Kiel,
,14,1. FC Union Berlin,,,VfL Bochum,
,14,FC St. Pauli,,,Werder Bremen,
,15,Bayer Leverkusen,,,SC Freiburg,
,15,VfB Stuttgart,,,FC St. Pauli,
,15,FC Bayern München,,,RB Leipzig,
,15,Eintracht Frankfurt,,,1. FSV Mainz 05,
,15,TSG 1899 Hoffenheim,,,Borussia Mönchengladbach,
,15,Werder Bremen,,,1. FC Union Berlin,
,15,VfL Wolfsburg,,,Borussia Dortmund,
,15,VfL Bochum,,,1. FC Heidenheim 1846,
,15,Holstein Kiel,,,FC Augsburg,
,16,RB Leipzig,,,Werder Bremen,
,16,Borussia Dortmund,,,Bayer Leverkusen,
,16,TSG 1899 Hoffenheim,,,VfL Wolfsburg,
,16,1. FC Heidenheim 1846,,,1. FC Union Berlin,
,16,SC Freiburg,,,Holstein Kiel,
,16,FC Augsburg,,,VfB Stuttgart,
,16,1. FSV Mainz 05,,,VfL Bochum,
,16,Borussia Mönchengladbach,,,FC Bayern München,
,16,FC St. Pauli,,,Eintracht Frankfurt,
,17,Bayer Leverkusen,,,1. FSV Mainz 05,
,17,VfB Stuttgart,,,RB Leipzig,
,17,FC Bayern München,,,TSG 1899 Hoffenheim,
,17,Eintracht Frankfurt,,,SC Freiburg,
,17,Werder Bremen,,,1. FC Heidenheim 1846,
,17,VfL Wolfsburg,,,Borussia Mönchengladbach,
,17,1. FC Union Berlin,,,FC Augsburg,
,17,VfL Bochum,,,FC St. Pauli,
,17,Holstein Kiel,,,Borussia Dortmund,
,18,Bayer Leverkusen,,,Borussia Mönchengladbach,
,18,VfB Stuttgart,,,SC Freiburg,
,18,FC Bayern München,,,VfL Wolfsburg,
,18,Eintracht Frankfurt,,,Borussia Dortmund,
,18,1. FC Heidenheim 1846,,,FC St. Pauli,
,18,Werder Bremen,,,FC Augsburg,
,18,1. FC Union Berlin,,,1. FSV Mainz 05,
,18,VfL Bochum,,,RB Leipzig,
,18,Holstein Kiel,,,TSG 1899 Hoffenheim,
,19,RB Leipzig,,,Bayer Leverkusen,
,19,Borussia Dortmund,,,Werder Bremen,
,19,TSG 1899 Hoffenheim,,,Eintracht Frankfurt,
,19,SC Freiburg,,,FC Bayern München,
,19,FC Augsburg,,,1. FC Heidenheim 1846,
,19,VfL Wolfsburg,,,Holstein Kiel,
,19,1. FSV Mainz 05,,,VfB Stuttgart,
,19,Borussia Mönchengladbach,,,VfL Bochum,
,19,FC St. Pauli,,,1. FC Union Berlin,
,20,Bayer Leverkusen,,,TSG 1899 Hoffenheim,
,20,VfB Stuttgart,,,Borussia Mönchengladbach,
,20,FC Bayern München,,,Holstein Kiel,
,20,Eintracht Frankfurt,,,VfL Wolfsburg,
,20,1. FC Heidenheim 1846,,,Borussia Dortmund,
,20,Werder Bremen,,,1. FSV Mainz 05,
,20,1. FC Union Berlin,,,RB Leipzig,
,20,VfL Bochum,,,SC Freiburg,
,20,FC St. Pauli,,,FC Augsburg,
,21,FC Bayern München,,,Werder Bremen,
,21,RB Leipzig,,,FC St. Pauli,
,21,Borussia Dortmund,,,VfB Stuttgart,
,21,TSG 1899 Hoffenheim,,,1. FC Union Berlin,
,21,SC Freiburg,,,1. FC Heidenheim 1846,
,21,VfL Wolfsburg,,,Bayer Leverkusen,
,21,1. FSV Mainz 05,,,FC Augsburg,
,21,Borussia Mönchengladbach,,,Eintracht Frankfurt,
,21,Holstein Kiel,,,VfL Bochum,
,22,,Bayer Leverkusen,,,FC Bayern München
,22,,VfB Stuttgart,,,VfL Wolfsburg
,22,,Eintracht Frankfurt,,,Holstein Kiel
,22,,1. FC Heidenheim 1846,,,1. FSV Mainz 05
,22,,Werder Bremen,,,TSG 1899 Hoffenheim
,22,,FC Augsburg,,,RB Leipzig
,22,,1. FC Union Berlin,,,Borussia Mönchengladbach
,22,,VfL Bochum,,,Borussia Dortmund
,22,,FC St. Pauli,,,SC Freiburg
,23,,FC Bayern München,,,Eintracht Frankfurt
,23,,RB Leipzig,,,1. FC Heidenheim 1846
,23,,Borussia Dortmund,,,1. FC Union Berlin
,23,,TSG 1899 Hoffenheim,,,VfB Stuttgart
,23,,SC Freiburg,,,Werder Bremen
,23,,VfL Wolfsburg,,,VfL Bochum
,23,,1. FSV Mainz 05,,,FC St. Pauli
,23,,Borussia Mönchengladbach,,,FC Augsburg
,23,,Holstein Kiel,,,Bayer Leverkusen
,24,VfB Stuttgart,,,FC Bayern München,
,24,RB Leipzig,,,1. FSV Mainz 05,
,24,Eintracht Frankfurt,,,Bayer Leverkusen,
,24,1. FC Heidenheim 1846,,,Borussia Mönchengladbach,
,24,Werder Bremen,,,VfL Wolfsburg,
,24,FC Augsburg,,,SC Freiburg,
,24,1. FC Union Berlin,,,Holstein Kiel,
,24,VfL Bochum,,,TSG 1899 Hoffenheim,
,24,FC St. Pauli,,,Borussia Dortmund,
,25,Bayer Leverkusen,,,Werder Bremen,
,25,FC Bayern München,,,VfL Bochum,
,25,Borussia Dortmund,,,FC Augsburg,
,25,Eintracht Frankfurt,,,1. FC Union Berlin,
,25,TSG 1899 Hoffenheim,,,1. FC Heidenheim 1846,
,25,SC Freiburg,,,RB Leipzig,
,25,VfL Wolfsburg,,,FC St. Pauli,
,25,Borussia Mönchengladbach,,,1. FSV Mainz 05,
,25,Holstein Kiel,,,VfB Stuttgart,
,26,VfB Stuttgart,,,Bayer Leverkusen,
,26,RB Leipzig,,,Borussia Dortmund,
,26,1. FC Heidenheim 1846,,,Holstein Kiel,
,26,Werder Bremen,,,Borussia Mönchengladbach,
,26,FC Augsburg,,,VfL Wolfsburg,
,26,1. FSV Mainz 05,,,SC Freiburg,
,26,1. FC Union Berlin,,,FC Bayern München,
,26,VfL Bochum,,,Eintracht Frankfurt,
,26,FC St. Pauli,,,TSG 1899 Hoffenheim,
,27,Bayer Leverkusen,,,VfL Bochum,
,27,FC Bayern München,,,FC St. Pauli,
,27,Borussia Dortmund,,,1. FSV Mainz 05,
,27,Eintracht Frankfurt,,,VfB Stuttgart,
,27,TSG 1899 Hoffenheim,,,FC Augsburg,
,27,SC Freiburg,,,1. FC Union Berlin,
,27,VfL Wolfsburg,,,1. FC Heidenheim 1846,
,27,Borussia Mönchengladbach,,,RB Leipzig,
,27,Holstein Kiel,,,Werder Bremen,
,28,RB Leipzig,,,TSG 1899 Hoffenheim,
,28,1. FC Heidenheim 1846,,,Bayer Leverkusen,
,28,Werder Bremen,,,Eintracht Frankfurt,
,28,SC Freiburg,,,Borussia Dortmund,
,28,FC Augsburg,,,FC Bayern München,
,28,1. FSV Mainz 05,,,Holstein Kiel,
,28,1. FC Union Berlin,,,VfL Wolfsburg,
,28,VfL Bochum,,,VfB Stuttgart,
,28,FC St. Pauli,,,Borussia Mönchengladbach,
,29,Bayer Leverkusen,,,1. FC Union Berlin,
,29,VfB Stuttgart,,,Werder Bremen,
,29,FC Bayern München,,,Borussia Dortmund,
,29,Eintracht Frankfurt,,,1. FC Heidenheim 1846,
,29,TSG 1899 Hoffenheim,,,1. FSV Mainz 05,
,29,VfL Wolfsburg,,,RB Leipzig,
,29,Borussia Mönchengladbach,,,SC Freiburg,
,29,VfL Bochum,,,FC Augsburg,
,29,Holstein Kiel,,,FC St. Pauli,
,30,RB Leipzig,,,Holstein Kiel,
,30,Borussia Dortmund,,,Borussia Mönchengladbach,
,30,1. FC Heidenheim 1846,,,FC Bayern München,
,30,Werder Bremen,,,VfL Bochum,
,30,SC Freiburg,,,TSG 1899 Hoffenheim,
,30,FC Augsburg,,,Eintracht Frankfurt,
,30,1. FSV Mainz 05,,,VfL Wolfsburg,
,30,1. FC Union Berlin,,,VfB Stuttgart,
,30,FC St. Pauli,,,Bayer Leverkusen,
,31,Bayer Leverkusen,,,FC Augsburg,
,31,VfB Stuttgart,,,1. FC Heidenheim 1846,
,31,FC Bayern München,,,1. FSV Mainz 05,
,31,Eintracht Frankfurt,,,RB Leipzig,
,31,TSG 1899 Hoffenheim,,,Borussia Dortmund,
,31,Werder Bremen,,,FC St. Pauli,
,31,VfL Wolfsburg,,,SC Freiburg,
,31,VfL Bochum,,,1. FC Union Berlin,
,31,Holstein Kiel,,,Borussia Mönchengladbach,
,32,RB Leipzig,,,FC Bayern München,
,32,Borussia Dortmund,,,VfL Wolfsburg,
,32,1. FC Heidenheim 1846,,,VfL Bochum,
,32,SC Freiburg,,,Bayer Leverkusen,
,32,FC Augsburg,,,Holstein Kiel,
,32,1. FSV Mainz 05,,,Eintracht Frankfurt,
,32,Borussia Mönchengladbach,,,TSG 1899 Hoffenheim,
,32,1. FC Union Berlin,,,Werder Bremen,
,32,FC St. Pauli,,,VfB Stuttgart,
,33,Bayer Leverkusen,,,Borussia Dortmund,
,33,VfB Stuttgart,,,FC Augsburg,
,33,FC Bayern München,,,Borussia Mönchengladbach,
,33,Eintracht Frankfurt,,,FC St. Pauli,
,33,Werder Bremen,,,RB Leipzig,
,33,VfL Wolfsburg,,,TSG 1899 Hoffenheim,
,33,1. FC Union Berlin,,,1. FC Heidenheim 1846,
,33,VfL Bochum,,,1. FSV Mainz 05,
,33,Holstein Kiel,,,SC Freiburg,
,34,RB Leipzig,,,VfB Stuttgart,
,34,Borussia Dortmund,,,Holstein Kiel,
,34,TSG 1899 Hoffenheim,,,FC Bayern München,
,34,1. FC Heidenheim 1846,,,Werder Bremen,
,34,SC Freiburg,,,Eintracht Frankfurt,
,34,FC Augsburg,,,1. FC Union Berlin,
,34,1. FSV Mainz 05,,,Bayer Leverkusen,
,34,Borussia Mönchengladbach,,,VfL Wolfsburg,
,34,FC St. Pauli,,,VfL Bochum,
